show_id,type,title,director,date_added,release_year,rating,duration,listed_in,country1
s1905,Movie,Carlos Almaraz: Playing with Fire,"Elsa Flores Almaraz, Richard J Montoya",2020-10-01,2019,TV-14,83 min,"Documentaries, LGBTQ Movies",United States
s1906,Movie,Cold Harbour,Carey McKenzie,2020-10-01,2013,TV-MA,73 min,"Action & Adventure, Dramas, International Movies",South Africa
s1907,TV Show,Evil,Not Given,2020-10-01,2019,TV-14,1 Season,TV Dramas,United States
s1908,TV Show,Familiar Wife,Not Given,2020-10-01,2018,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",South Korea
s1909,TV Show,Food Wars!: Shokugeki no Soma,Not Given,2020-10-01,2016,TV-MA,2 Seasons,"Anime Series, International TV Shows, Teen TV Shows",Japan
s1910,Movie,Free State of Jones,Gary Ross,2020-10-01,2016,R,139 min,"Action & Adventure, Dramas",United States
s1911,TV Show,"Good Morning, Verônica",Not Given,2020-10-01,2020,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Mysteries",Brazil
s1912,Movie,Human Nature,Adam Bolt,2020-10-01,2019,TV-14,95 min,Documentaries,United States
s1913,Movie,Hunt for the Wilderpeople,Taika Waititi,2020-10-01,2016,PG-13,101 min,"Action & Adventure, Comedies, Dramas",New Zealand
s1914,Movie,I'm Leaving Now,"Lindsey Cordero, Armando Croda",2020-10-01,2019,TV-MA,75 min,"Documentaries, International Movies",United States
s1915,TV Show,Journey of an African Colony,Not Given,2020-10-01,2018,TV-MA,1 Season,"Docuseries, International TV Shows",South Korea
s1916,TV Show,Oktoberfest: Beer & Blood,Not Given,2020-10-01,2020,TV-MA,1 Season,"International TV Shows, TV Dramas",Germany
s1917,Movie,Rize,David LaChapelle,2020-10-01,2005,PG-13,87 min,"Documentaries, Music & Musicals",United States
s1918,TV Show,Secreto bien guardado,Not Given,2020-10-01,2019,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows",Argentina
s1919,TV Show,Sword Art Online,Not Given,2020-10-01,2018,TV-MA,3 Seasons,"Anime Series, International TV Shows",Japan
s1920,Movie,The American Game,Mostafa Abu Seif,2020-10-01,2019,TV-PG,91 min,"Comedies, International Movies, Romantic Movies",Not Given
s1921,Movie,The Book of Sun,Faris Godus,2020-10-01,2020,TV-14,120 min,"Comedies, Independent Movies, International Movies",Saudi Arabia
s1922,Movie,The Outpost,Rod Lurie,2020-10-01,2020,R,123 min,"Action & Adventure, Dramas",United States
s1923,TV Show,The Parkers,Not Given,2020-10-01,2003,TV-PG,5 Seasons,TV Comedies,United States
s1924,TV Show,The Unicorn,Not Given,2020-10-01,2019,TV-14,1 Season,"TV Comedies, TV Dramas",United States
s1925,Movie,We Have Always Lived in the Castle,Stacie Passon,2020-10-01,2018,TV-14,95 min,"Dramas, Thrillers",United States
s1926,TV Show,You Cannot Hide,Not Given,2020-10-01,2020,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Mexico
s1927,Movie,American Murder: The Family Next Door,Jenny Popplewell,2020-09-30,2020,TV-MA,84 min,Documentaries,United States
s1928,Movie,Baxu and the Giants,Florian Schott,2020-09-30,2019,TV-PG,29 min,"Dramas, International Movies",Namibia
s1929,TV Show,Black Butler,Not Given,2020-09-30,2010,TV-MA,3 Seasons,"Anime Series, International TV Shows",Japan
s1930,TV Show,Man with a Plan,Not Given,2020-09-30,2020,TV-PG,4 Seasons,TV Comedies,United States
s1931,Movie,Poacher,Tom Whitworth,2020-09-30,2018,TV-MA,28 min,"Dramas, International Movies, Thrillers",United Kingdom
s1932,Movie,The Boys in the Band,Joe Mantello,2020-09-30,2020,R,122 min,"Dramas, LGBTQ Movies",United States
s1933,Movie,The Boys in the Band: Something Personal,Not Given,2020-09-30,2020,TV-MA,28 min,"Documentaries, LGBTQ Movies",United States
s1934,TV Show,Wentworth,Not Given,2020-09-30,2020,TV-MA,8 Seasons,"Crime TV Shows, TV Dramas",Australia
s1935,Movie,Bully,Lee Hirsch,2020-09-29,2012,PG-13,98 min,Documentaries,United States
s1936,Movie,Michelle Buteau: Welcome to Buteaupia,Page Hurwitz,2020-09-29,2020,TV-MA,59 min,Stand-Up Comedy,United States
s1937,Movie,Welcome to Sudden Death,Dallas Jackson,2020-09-29,2020,R,80 min,Action & Adventure,United States
s1938,Movie,Amandla! A Revolution in Four Part Harmony,Lee Hirsch,2020-09-28,2002,PG-13,103 min,"Documentaries, International Movies, Music & Musicals",South Africa
s1939,Movie,Ankhon Dekhi,Rajat Kapoor,2020-09-28,2013,TV-PG,104 min,"Dramas, Independent Movies, International Movies",India
s1940,Movie,Dedh Ishqiya,Abhishek Chaubey,2020-09-28,2014,TV-14,146 min,"Comedies, Dramas, International Movies",India
s1941,Movie,Golmaal Returns,Rohit Shetty,2020-09-28,2008,TV-MA,135 min,"Comedies, International Movies, Music & Musicals",India
s1942,Movie,Ishq Vishk,Ken Ghosh,2020-09-28,2003,TV-PG,129 min,"Comedies, International Movies, Music & Musicals",India
s1943,Movie,Ishqiya,Abhishek Chaubey,2020-09-28,2009,TV-14,115 min,"Comedies, International Movies, Romantic Movies",India
s1944,Movie,Jab We Met,Imtiaz Ali,2020-09-28,2007,TV-14,143 min,"Comedies, International Movies, Music & Musicals",India
s1945,Movie,Mann,Indra Kumar,2020-09-28,1999,TV-14,173 min,"Dramas, International Movies, Romantic Movies",India
s1946,Movie,Manorama Six Feet Under,Navdeep Singh,2020-09-28,2007,TV-14,129 min,"Dramas, International Movies, Thrillers",India
s1947,Movie,Welcome,Anees Bazmee,2020-09-28,2007,TV-PG,149 min,"Comedies, International Movies, Music & Musicals",India
s1948,TV Show,"Whose Vote Counts, Explained",Not Given,2020-09-28,2020,TV-PG,1 Season,Docuseries,United States
s1949,TV Show,Van Helsing,Not Given,2020-09-27,2019,TV-MA,4 Seasons,"International TV Shows, TV Action & Adventure, TV Dramas",United States
s1950,TV Show,The Good Place,Not Given,2020-09-26,2020,TV-14,4 Seasons,TV Comedies,United States
s1951,Movie,Time Out,Rikhil Bahadur,2020-09-26,2015,TV-14,98 min,"Dramas, Independent Movies, International Movies",India
s1952,TV Show,A Perfect Crime,Not Given,2020-09-25,2020,TV-14,1 Season,"Crime TV Shows, Docuseries, International TV Shows",Germany
s1953,TV Show,Mighty Little Bheem,Not Given,2020-09-25,2020,TV-Y,3 Seasons,"Kids' TV, TV Comedies",South Korea
s1954,Movie,My Mother's Wound,Ozan Açıktan,2020-09-25,2016,TV-MA,115 min,"Dramas, International Movies",Turkey
s1955,TV Show,Sneakerheads,Not Given,2020-09-25,2020,TV-MA,1 Season,TV Comedies,United States
s1956,TV Show,The School Nurse Files,Not Given,2020-09-25,2020,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Mysteries",South Korea
s1957,Movie,Zulu Man in Japan,Not Given,2020-09-25,2019,TV-MA,44 min,"Documentaries, International Movies, Music & Musicals",United States
s1958,Movie,Real Steel,Shawn Levy,2020-09-24,2011,PG-13,127 min,"Action & Adventure, Sci-Fi & Fantasy, Sports Movies",United States
s1959,TV Show,The Chef Show,Not Given,2020-09-24,2020,TV-MA,4 Seasons,Docuseries,United States
s1960,Movie,Enola Holmes,Harry Bradbeer,2020-09-23,2020,PG-13,124 min,"Action & Adventure, Children & Family Movies, Dramas",United Kingdom
s1961,Movie,Kiss the Ground,"Joshua Tickell, Rebecca Harrell Tickell",2020-09-22,2020,TV-G,85 min,Documentaries,United States
s1962,TV Show,The Playbook,Not Given,2020-09-22,2020,TV-MA,1 Season,Docuseries,United States
s1963,Movie,A Love Song for Latasha,Sophia Nahli Allison,2020-09-21,2020,TV-PG,20 min,Documentaries,United States
s1964,Movie,DTC Yukemuri Junjo Hen From High & Low,Norihisa Hiranuma,2020-09-20,2018,TV-PG,102 min,"Dramas, International Movies",Japan
s1965,Movie,High & Low The Movie,Shigeaki Kubo,2020-09-20,2016,TV-MA,129 min,"Action & Adventure, International Movies",Japan
s1966,Movie,High & Low The Movie 2 / End of Sky,"Shigeaki Kubo, Tsuyoshi Nakakuki",2020-09-20,2017,TV-MA,124 min,"Action & Adventure, International Movies",Japan
s1967,Movie,High & Low The Movie 3 / Final Mission,"Shigeaki Kubo, Tsuyoshi Nakakuki",2020-09-20,2017,TV-MA,118 min,"Action & Adventure, International Movies",Japan
s1968,Movie,High & Low The Red Rain,Yudai Yamaguchi,2020-09-20,2016,TV-MA,111 min,"Action & Adventure, International Movies",Japan
s1969,Movie,High & Low The Worst,Shigeaki Kubo,2020-09-20,2019,TV-MA,125 min,"Action & Adventure, International Movies",Japan
s1970,Movie,Road To High & Low,Shigeaki Kubo,2020-09-20,2016,TV-MA,94 min,"Action & Adventure, International Movies",Japan
s1971,Movie,The Blue Elephant 2,Marwan Hamed,2020-09-20,2019,TV-MA,130 min,"Horror Movies, International Movies, Thrillers",Egypt
s1972,Movie,Bhaji In Problem,Smeep Kang,2020-09-19,2013,TV-14,117 min,"Comedies, International Movies",India
s1973,Movie,Black,Raja Chanda,2020-09-19,2015,TV-14,137 min,"Action & Adventure, International Movies",India
s1974,TV Show,Fukrey Boyzzz,Not Given,2020-09-19,2020,TV-Y,1 Season,"Kids' TV, TV Comedies",South Korea
s1975,Movie,Saheb Biwi Aur Gangster Returns,Tigmanshu Dhulia,2020-09-19,2013,TV-MA,139 min,"Dramas, International Movies, Romantic Movies",India
s1976,Movie,Santa Banta Pvt Ltd,Akashdeep,2020-09-19,2016,TV-14,111 min,"Comedies, International Movies",India
s1977,Movie,The Royal Bengal Tiger,Rajesh Ganguly,2020-09-19,2014,TV-MA,103 min,"Dramas, International Movies, Thrillers",India
s1978,Movie,Dolly Kitty Aur Woh Chamakte Sitare,Alankrita Shrivastava,2020-09-18,2020,TV-MA,120 min,"Dramas, Independent Movies, International Movies",India
s1979,TV Show,Ratched,Not Given,2020-09-18,2020,TV-MA,1 Season,"TV Dramas, TV Horror, TV Mysteries",United States
s1980,TV Show,The American Barbecue Showdown,Not Given,2020-09-18,2020,TV-G,1 Season,Reality TV,United States
s1981,TV Show,The Blacklist,Not Given,2020-09-18,2019,TV-14,7 Seasons,"Crime TV Shows, TV Dramas, TV Thrillers",United States
s1982,Movie,Whipped,Chandra Liow,2020-09-18,2020,TV-14,98 min,"Comedies, International Movies, Romantic Movies",Indonesia
s1983,Movie,Anaamika,Sekhar Kammula,2020-09-17,2014,TV-14,130 min,"International Movies, Thrillers",India
s1984,TV Show,Dragon's Dogma,Not Given,2020-09-17,2020,TV-MA,1 Season,"Anime Series, International TV Shows",United States
s1985,Movie,GIMS: On the Record,Florent Bodin,2020-09-17,2020,TV-MA,96 min,"Documentaries, International Movies, Music & Musicals",France
s1986,Movie,Horrid Henry's Gross Day Out,Gary Andrews,2020-09-17,2020,TV-Y,61 min,"Children & Family Movies, Comedies",United Kingdom
s1987,Movie,Nee Enge En Anbe,Sekhar Kammula,2020-09-17,2014,TV-14,137 min,"International Movies, Thrillers",India
s1988,Movie,Residue,Merawi Gerima,2020-09-17,2020,TV-MA,90 min,"Dramas, Independent Movies",United States
s1989,TV Show,The Last Word,Not Given,2020-09-17,2020,TV-MA,1 Season,"International TV Shows, TV Comedies, TV Dramas",Germany
s1990,TV Show,Baby,Not Given,2020-09-16,2020,TV-MA,3 Seasons,"International TV Shows, TV Dramas, Teen TV Shows",Italy
s1991,TV Show,Challenger,Not Given,2020-09-16,2020,TV-14,1 Season,"Docuseries, Science & Nature TV",United States
s1992,TV Show,Criminal: UK,Not Given,2020-09-16,2020,TV-MA,2 Seasons,"British TV Shows, Crime TV Shows, International TV Shows",United Kingdom
s1993,Movie,Dr Jason Leong Hashtag Blessed,Kubhaer T. Jethwani,2020-09-16,2018,TV-MA,69 min,Stand-Up Comedy,Not Given
s1994,TV Show,Signs,Not Given,2020-09-16,2020,TV-MA,2 Seasons,"Crime TV Shows, International TV Shows, TV Dramas",Poland
s1995,TV Show,Sing On!,Not Given,2020-09-16,2020,TV-PG,1 Season,Reality TV,United States
s1996,Movie,The Devil All The Time,Antonio Campos,2020-09-16,2020,R,139 min,"Dramas, Thrillers",United States
s1997,Movie,The Paramedic,Carles Torras,2020-09-16,2020,TV-MA,94 min,"Dramas, International Movies, Thrillers",Spain
s1998,Movie,The Take,James Watkins,2020-09-16,2016,R,92 min,"Action & Adventure, International Movies",United Kingdom
s1999,TV Show,Call the Midwife,Philippa Lowthorpe,2020-09-15,2020,TV-MA,9 Seasons,"British TV Shows, International TV Shows, TV Dramas",United Kingdom
s2000,Movie,Hope Frozen: A Quest to Live Twice,Pailin Wedel,2020-09-15,2020,TV-PG,80 min,"Documentaries, International Movies",Thailand
s2001,Movie,Michael McIntyre: Showman,Chris Howe,2020-09-15,2020,TV-MA,63 min,Stand-Up Comedy,United Kingdom
s2002,Movie,Raising Victor Vargas,Peter Sollett,2020-09-15,2002,R,88 min,"Dramas, Independent Movies, Romantic Movies",France
s2003,TV Show,Taco Chronicles,Not Given,2020-09-15,2020,TV-MA,2 Seasons,"Docuseries, International TV Shows, Reality TV",United States
s2004,Movie,The Smurfs 2,Raja Gosnell,2020-09-15,2013,PG,105 min,"Children & Family Movies, Comedies",United States
s2005,Movie,Wish Upon a Unicorn,Steve Bencich,2020-09-15,2020,PG,93 min,Children & Family Movies,Not Given
s2006,Movie,Lara and the Beat,Tosin Coker,2020-09-14,2018,TV-MA,140 min,"Dramas, International Movies, Music & Musicals",Nigeria
s2007,TV Show,Buddi,Not Given,2020-09-11,2020,TV-Y,2 Seasons,"British TV Shows, Kids' TV",United Kingdom
s2008,Movie,Dad Wanted,Javier Colinas,2020-09-11,2020,TV-14,103 min,"Children & Family Movies, Comedies, Dramas",Mexico
s2009,TV Show,Family Business,Not Given,2020-09-11,2020,TV-MA,2 Seasons,"International TV Shows, TV Comedies, TV Dramas",France
s2010,TV Show,Girlfriends,Not Given,2020-09-11,2007,TV-14,8 Seasons,TV Comedies,United States
s2011,Movie,How to Train Your Dragon 2,Dean DeBlois,2020-09-11,2014,PG,102 min,Children & Family Movies,United States
s2012,Movie,Pets United,Reinhard Klooss,2020-09-11,2020,TV-Y7,93 min,"Children & Family Movies, Comedies",Germany
s2013,TV Show,The Barrier,Not Given,2020-09-11,2020,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Dramas",Spain
s2014,TV Show,The Duchess,Not Given,2020-09-11,2020,TV-MA,1 Season,"British TV Shows, International TV Shows, TV Comedies",United Kingdom
s2015,Movie,Wonho Chung: Live in New York,Shaun Mir,2020-09-11,2014,TV-14,69 min,Stand-Up Comedy,Not Given
s2016,Movie,Aapla Manus,Satish Rajwade,2020-09-10,2018,TV-14,133 min,"Dramas, International Movies, Thrillers",India
s2017,Movie,Ani... Dr. Kashinath Ghanekar,Abhijeet Deshpande,2020-09-10,2018,TV-14,157 min,"Dramas, International Movies",India
s2018,Movie,Bhai: Vyakti Ki Valli - Poorvardha,Mahesh Manjrekar,2020-09-10,2019,TV-14,116 min,"Dramas, International Movies",India
s2019,Movie,Bhai: Vyakti Ki Valli - Uttarardh,Mahesh Manjrekar,2020-09-10,2019,TV-PG,112 min,"Dramas, International Movies",India
s2020,Movie,Cycle,Prakash Kunte,2020-09-10,2018,TV-PG,96 min,"Comedies, Dramas, International Movies",India
s2021,Movie,Dhh,Manish Saini,2020-09-10,2017,TV-G,127 min,"Children & Family Movies, Dramas, International Movies",India
s2022,TV Show,Greenleaf,Not Given,2020-09-10,2020,TV-14,5 Seasons,TV Dramas,United States
s2023,TV Show,Julie and the Phantoms,Kenny Ortega,2020-09-10,2020,TV-G,1 Season,"Kids' TV, TV Comedies",United States
s2024,Movie,Kaagar,Makarand Mane,2020-09-10,2019,TV-MA,130 min,"Dramas, International Movies, Romantic Movies",India
s2025,Movie,Night of Knots,Hakan Algül,2020-09-10,2018,TV-MA,93 min,"Comedies, International Movies, Romantic Movies",Turkey
s2026,Movie,PhotoCopy,Vijay Maurya,2020-09-10,2016,TV-14,138 min,"Comedies, Dramas, International Movies",India
s2027,Movie,Poshter Girl,Sameer Patil,2020-09-10,2016,TV-14,138 min,"Comedies, Dramas, International Movies",India
s2028,Movie,Satria Heroes: Revenge of the Darkness,"Kenzo Maihara, Amandha Wyanto",2020-09-10,2017,TV-G,92 min,Children & Family Movies,Indonesia
s2029,Movie,Son Of Adam,Ahmed Nader Galal,2020-09-10,2018,TV-14,110 min,"Dramas, International Movies, Thrillers",Egypt
s2030,Movie,The Babysitter: Killer Queen,McG,2020-09-10,2020,TV-MA,102 min,"Comedies, Horror Movies",United States
s2031,Movie,Cargo,Arati Kadav,2020-09-09,2020,TV-14,113 min,"Comedies, Dramas, Independent Movies",India
s2032,Movie,Cuties,Maïmouna Doucouré,2020-09-09,2020,TV-MA,96 min,"Dramas, International Movies",France
s2033,TV Show,Get Organized with The Home Edit,Not Given,2020-09-09,2020,TV-PG,1 Season,Reality TV,United States
s2034,TV Show,La Línea: Shadow of Narco,Pepe Mora,2020-09-09,2020,TV-MA,1 Season,"Crime TV Shows, Docuseries, International TV Shows",Spain
s2035,Movie,So Much Love to Give,Marcos Carnevale,2020-09-09,2020,TV-14,108 min,"Comedies, International Movies, Music & Musicals",Argentina
s2036,Movie,The Social Dilemma,Jeff Orlowski,2020-09-09,2020,PG-13,94 min,Documentaries,United States
s2037,Movie,#Alive,Cho Il,2020-09-08,2020,TV-MA,99 min,"Horror Movies, International Movies, Thrillers",South Korea
s2038,TV Show,Record of Youth,Not Given,2020-09-08,2020,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",South Korea
s2039,Movie,My Octopus Teacher,"Pippa Ehrlich, James Reed",2020-09-07,2020,TV-G,86 min,"Children & Family Movies, Documentaries, International Movies",South Africa
s2040,Movie,Toll Booth,Tolga Karaçelik,2020-09-07,2010,TV-MA,98 min,"Dramas, Independent Movies, International Movies",Turkey
s2041,TV Show,Transformers: Cyberverse,Not Given,2020-09-07,2020,TV-Y7,2 Seasons,Kids' TV,United States
s2042,Movie,"Waiting for ""Superman""",Davis Guggenheim,2020-09-07,2010,PG,111 min,Documentaries,United States
s2043,TV Show,Cleverman,Not Given,2020-09-05,2017,TV-MA,1 Season,"TV Dramas, TV Sci-Fi & Fantasy, TV Thrillers",Australia
s2044,Movie,Villain,Philip Barantini,2020-09-05,2020,R,97 min,Dramas,United Kingdom
s2045,TV Show,Away,Not Given,2020-09-04,2020,TV-14,1 Season,"Romantic TV Shows, TV Dramas, TV Sci-Fi & Fantasy",United States
s2046,Movie,I'm Thinking of Ending Things,Charlie Kaufman,2020-09-04,2020,R,135 min,"Dramas, Independent Movies",United States
s2047,Movie,Kandasamys: The Wedding,Jayan Moodley,2020-09-04,2019,TV-14,93 min,"Comedies, Dramas, International Movies",South Africa
s2048,TV Show,Spirit Riding Free: Riding Academy,Not Given,2020-09-04,2020,TV-Y7,2 Seasons,Kids' TV,United States
s2049,Movie,The Lost Okoroshi,Abba T. Makama,2020-09-04,2019,TV-MA,94 min,"Comedies, Dramas, Independent Movies",Nigeria
s2050,Movie,You're My Boss,Antoinette Jadaone,2020-09-04,2015,TV-14,117 min,"Comedies, International Movies, Romantic Movies",Philippines
s2051,Movie,Afonso Padilha: Classless,"Junior Carelli, Rudge Campos",2020-09-03,2020,TV-MA,63 min,Stand-Up Comedy,Brazil
s2052,Movie,Ave Maryam,Ertanto Robby Soediskam,2020-09-03,2018,TV-PG,73 min,"Dramas, Independent Movies, International Movies",Indonesia
s2053,Movie,"Love, Guaranteed",Mark Steven Johnson,2020-09-03,2020,TV-PG,91 min,"Comedies, Independent Movies, Romantic Movies",United States
s2054,TV Show,Young Wallander,Not Given,2020-09-03,2020,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",United Kingdom
s2055,TV Show,Chef's Table: BBQ,Not Given,2020-09-02,2020,TV-14,1 Season,"Docuseries, Reality TV",United States
s2056,Movie,Freaks – You're One of Us,Felix Binder,2020-09-02,2020,TV-MA,93 min,"Dramas, Independent Movies, International Movies",Germany
s2057,Movie,Hotel for Dogs,Thor Freudenthal,2020-09-02,2009,PG,101 min,"Children & Family Movies, Comedies",Germany
s2058,Movie,Sky Tour: The Movie,Nguyen Thanh Tung,2020-09-02,2020,TV-G,93 min,"Documentaries, International Movies, Music & Musicals",Vietnam
s2059,TV Show,The Witcher: A Look Inside the Episodes,Not Given,2020-09-02,2020,TV-MA,1 Season,"Docuseries, TV Sci-Fi & Fantasy",South Korea
s2060,Movie,Adrift,Baltasar Kormákur,2020-09-01,2018,PG-13,96 min,"Action & Adventure, Dramas, Romantic Movies",Hong Kong
s2061,Movie,Always Be My Maybe,Dan Villegas,2020-09-01,2016,TV-14,112 min,"International Movies, Romantic Movies",Philippines
s2062,Movie,Barbie Princess Adventure,Conrad Helten,2020-09-01,2020,TV-Y,72 min,"Children & Family Movies, Music & Musicals",Netherlands
s2063,TV Show,Blue Exorcist,Not Given,2020-09-01,2017,TV-MA,2 Seasons,"Anime Series, International TV Shows",Japan
s2064,TV Show,Bookmarks,Not Given,2020-09-01,2020,TV-Y,1 Season,Kids' TV,United States
s2065,TV Show,Borgen,Not Given,2020-09-01,2012,TV-MA,3 Seasons,"International TV Shows, TV Dramas",Denmark
s2066,Movie,Children of the Sea,Ayumu Watanabe,2020-09-01,2019,TV-PG,112 min,"Anime Features, International Movies",Japan
s2067,TV Show,Erased,Not Given,2020-09-01,2016,TV-14,1 Season,"Anime Series, International TV Shows, TV Thrillers",Japan
s2068,Movie,Fate/Grand Order -First Order-,Hitoshi Namba,2020-09-01,2016,TV-14,72 min,"Action & Adventure, Anime Features, International Movies",Japan
s2069,TV Show,Felipe Esparza: Bad Decisions,Not Given,2020-09-01,2020,TV-MA,1 Season,"Stand-Up Comedy & Talk Shows, TV Comedies",United States
s2070,TV Show,H,Not Given,2020-09-01,2002,TV-MA,4 Seasons,"International TV Shows, TV Comedies",France
s2071,TV Show,Heidi,Not Given,2020-09-01,2020,TV-Y7,1 Season,Kids' TV,France
s2072,Movie,Puss in Boots,Chris Miller,2020-09-01,2011,PG,92 min,"Children & Family Movies, Comedies",United States
s2073,Movie,Sex Drive,Sean Anders,2020-09-01,2008,R,109 min,Comedies,United States
s2074,TV Show,"Sister, Sister",Not Given,2020-09-01,1998,TV-PG,6 Seasons,"TV Comedies, Teen TV Shows",United States
s2075,Movie,Soldier,Abbas Mustan,2020-09-01,1998,TV-14,155 min,"Comedies, Dramas, International Movies",India
s2076,Movie,"Take the Ball, Pass the Ball",Duncan McMath,2020-09-01,2018,TV-MA,109 min,"Documentaries, International Movies, Sports Movies",Spain
s2077,Movie,The Boss Baby: Get That Baby!,"Dan Forgione, Pete Jacobs, Matt Whitlock",2020-09-01,2020,TV-Y7,115 min,"Children & Family Movies, Comedies",United States
s2078,Movie,The Match,Francesco Carnesecchi,2020-09-01,2020,TV-MA,97 min,"Dramas, International Movies, Sports Movies",Italy
s2079,TV Show,The Promised Neverland,Not Given,2020-09-01,2019,TV-14,1 Season,"Anime Series, International TV Shows, TV Thrillers",Japan
s2080,Movie,The Smurfs,Raja Gosnell,2020-09-01,2011,PG,103 min,"Children & Family Movies, Comedies",United States
s2081,TV Show,Thomas and Friends,Greg Tiernan,2020-09-01,2020,TV-Y,2 Seasons,"British TV Shows, Classic & Cult TV, Kids' TV",United Kingdom
s2082,Movie,True: Friendship Day,"Mark Thornton, Todd Kauffman",2020-09-01,2020,TV-Y,24 min,Children & Family Movies,Canada
s2083,Movie,Maniyarayile Ashokan,Shamzu Zayba,2020-08-31,2020,TV-14,110 min,"Comedies, International Movies, Romantic Movies",India
s2084,Movie,The Debt Collector 2,Jesse V. Johnson,2020-08-31,2020,TV-MA,97 min,Action & Adventure,United States
s2085,Movie,All Together Now,Brett Haley,2020-08-29,2020,PG,94 min,Dramas,United States
s2086,TV Show,I AM A KILLER: RELEASED,Not Given,2020-08-28,2020,TV-MA,1 Season,"British TV Shows, Crime TV Shows, Docuseries",United Kingdom
s2087,TV Show,Masaba Masaba,Not Given,2020-08-28,2020,TV-MA,1 Season,"International TV Shows, TV Comedies, TV Dramas",India
s2088,Movie,Santana,"Chris Roland, Maradona Dias Dos Santos",2020-08-28,2020,TV-MA,107 min,"Action & Adventure, International Movies",South Africa
s2089,Movie,Unknown Origins,David Galán Galindo,2020-08-28,2020,TV-MA,97 min,"International Movies, Thrillers",Spain
s2090,TV Show,Aggretsuko,Not Given,2020-08-27,2020,TV-14,3 Seasons,"Anime Series, International TV Shows",Japan
s2091,Movie,Edge of Seventeen,David Moreton,2020-08-27,1998,TV-MA,103 min,"Comedies, Dramas, Independent Movies",United States
